 Lucia Hwong Gordon, Muffie Potter Aston,
 Somers Farkas, Christine Schott,
 Somers Farkas, Liliana  Cavendish,
 Somers Farkas, Diandra de Morrell Douglas,
 Somers Farkas, Janna Bullock,
 Somers Farkas, Alexandra Lebenthal,
 Mario Buatta, Melanie Wambold,
 Lauren Day Roberts, Sharon Kerr,
 Lauren Day Roberts, Lucia Hwong Gordon,
 Lauren Day Roberts, Dawne Marie Grannum,
 Chele Chiavacci, Alina Cho,
 Chele Chiavacci, Muffie Potter Aston,
 Chele Chiavacci, Liliana  Cavendish,
 Chele Chiavacci, Somers Farkas,
 Chele Chiavacci, Adelina Wong Ettelson,
 Chele Chiavacci, Chiu-Ti Jansen,
 Chele Chiavacci, Diandra de Morrell Douglas,
 Chele Chiavacci, Alexandra Lebenthal,
 Lucia Hwong-Gordon, Chiu-Ti Jansen,
 Felicia Taylor, Christine Schott,
 Felicia Taylor, Lucia Hwong Gordon,
 Felicia Taylor, Sharon Bush,
 Felicia Taylor, Jamie Figg,
 Felicia Taylor, Katharina Otto-Bernstein,
 Felicia Taylor, Alexandra Lebenthal,
 Chiu Ti Jansen, Alexandra Lebenthal,
 Audrey Gruss, Jean Remmel FitzSimmons,
 Audrey Gruss, Bob Chaloner,
 Audrey Gruss, Mario Buatta,
 Audrey Gruss, Yaz Hernandez,
 Audrey Gruss, Chuck Scarborough,
 Audrey Gruss, Patricia Shiah,
 Sandra McConnell, Bob Chaloner,
 Sandra McConnell, Melanie Wambold,
 Sandra McConnell, Jonathan McCann,
Bonnie Comley,  Stewart Lane,
Bonnie Comley,  Katlean de Monchy,
Bonnie Comley,  Sharon Kerr,
 Stewart Lane, Bonnie Comley,
 Stewart Lane, Meera Ghandi,
 Sharon Kerr, Bonnie Comley,
 Sharon Kerr, Anthony E. Mann,
 Derek Steinhauser, Maria Orengo,
 Derek Steinhauser, Valentino Carlotti,
 Alicia Bythewood, Kathryn Chenault,
Sharon Kerr,  Debra Halpert,
Sharon Kerr,  Diana Taylor,
Sharon Kerr,  Lauren Day Roberts,
Sharon Kerr,  Dawne Marie Grannum,
Sharon Kerr,  Joy Marks,
 Debra Halpert, Sharon Kerr,
 Dawne Marie Grannum, Sharon Kerr,
 Dawne Marie Grannum, Lucia Hwong Gordon,
 Dawne Marie Grannum, Victor de Souza,
 Dawne Marie Grannum, Alison Minton,
 Joy Marks, Sharon Kerr,
 Joy Marks, Dawne Marie Grannum,
 Joy Marks, Penny Grant,
Audrey Gruss,  Liliana Cavendish,
Audrey Gruss,  Jieun Wax,
Audrey Gruss,  Eleanora Kennedy,
 Jieun Wax, Audrey Gruss,
 Jieun Wax, Yaz Hernandez,
 Jieun Wax, Cindy Rinfret,
 Jieun Wax, Chiu-ti Jansen,
 Jieun Wax, Kamie Lightburn,
 Jieun Wax, Alexandra Lebenthal,
 Eleanora Kennedy, Audrey Gruss,
 Eleanora Kennedy, Muffie Potter Aston,
 Eleanora Kennedy, Barbara Regna,
 Eleanora Kennedy, Jamie Figg,
 Eleanora Kennedy, Chiu-ti Jansen,
 Eleanora Kennedy, Jieun Wax,
 Eleanora Kennedy, Kamie Lightburn,
Anthony E. Mann,  Debra Harnik,
Anthony E. Mann,  Sharon Kerr,
Anthony E. Mann,  JBFCS Board,
 Debra Harnik, Anthony E. Mann,
 JBFCS Board, Anthony E. Mann,
 JBFCS Board, JBFCS President–Elect,
Jean Remmel FitzSimmons,  Audrey Gruss,
Jean Remmel FitzSimmons,  Patty Kraus,
 Patty Kraus, Jean Remmel FitzSimmons,
 Patty Kraus, Bob Chaloner,
Cristina Greeven Cuomo,  Alexandra Lebenthal,
Cristina Greeven Cuomo,  Alina Cho,
 Alexandra Lebenthal, Cristina Greeven Cuomo,
 Alexandra Lebenthal, Alina Cho,
 Alexandra Lebenthal, Liliana  Cavendish,
 Alexandra Lebenthal, Eleanora Kennedy,
 Alexandra Lebenthal, Adelina Wong Ettelson,
 Alexandra Lebenthal, Diana Taylor,
 Alexandra Lebenthal, Michael Kors,
 Alexandra Lebenthal, Diandra de Morrell Douglas,
 Alexandra Lebenthal, Kamie Lightburn,
 Alina Cho, Cristina Greeven Cuomo,
 Alina Cho, Liliana  Cavendish,
 Alina Cho, Adelina Wong Ettelson,
 Alina Cho, Dayssi Olarte de Kanavos,
 Alina Cho, Liliana Cavendish,
Alina Cho,  Janna Bullock,
Alina Cho,  Alexandra Lebenthal,
Alina Cho,  Muffie Potter Aston,
Alina Cho,  Diandra de Morrell Douglas,
Alina Cho,  Somers Farkas,
Alina Cho,  Chele Chiavacci,
Alina Cho,  Sharon Bush,
Alina Cho,  Katlean de Monchy,
Alina Cho,  Michelle Harper,
 Muffie Potter Aston, Alina Cho,
 Muffie Potter Aston, Felicia Taylor,
 Muffie Potter Aston, Liliana  Cavendish,
 Muffie Potter Aston, Somers Farkas,
 Muffie Potter Aston, Elizabeth Scribling,
 Muffie Potter Aston, Janna Bullock,
 Muffie Potter Aston, Alexandra Lebenthal,
 Diandra de Morrell Douglas, Alina Cho,
 Diandra de Morrell Douglas, Muffie Potter Aston,
 Diandra de Morrell Douglas, Liliana  Cavendish,
 Sharon Bush, Alina Cho,
 Sharon Bush, Muffie Potter Aston,
 Sharon Bush, Lauren Bush,
 Sharon Bush, Christine Schott,
 Sharon Bush, Tamie Lightburn,
 Sharon Bush, Cheri Kaufman,
 Sharon Bush, Yaz Hernandez,
 Michelle Harper, Alina Cho,
Muffie Potter Aston,  Roger Webster,
Muffie Potter Aston,  Frederick Anderson,
Muffie Potter Aston,  Dayssi Olarte de Kanavos,
Muffie Potter Aston,  Diandra de Morrell Douglas,
Muffie Potter Aston,  Adelina Wong Ettelson,
Muffie Potter Aston,  Chele Chiavacci,
Muffie Potter Aston,  Lucia Hwong Gordon,
Muffie Potter Aston,  Sharon Bush,
Muffie Potter Aston,  Eleanora Kennedy,
 Roger Webster, Muffie Potter Aston,
 Roger Webster, Mario Buatta,
 Roger Webster, Janna Bullock,
 Frederick Anderson, Muffie Potter Aston,
 Frederick Anderson, Somers Farkas,
 Frederick Anderson, Dayssi Olarte de Kanavos,
 Frederick Anderson, Alexandra Lebenthal,
 Dayssi Olarte de Kanavos, Muffie Potter Aston,
 Dayssi Olarte de Kanavos, Alexandra Lebenthal,
 Adelina Wong Ettelson, Muffie Potter Aston,
 Adelina Wong Ettelson, Liliana  Cavendish,
 Adelina Wong Ettelson, Somers Farkas,
 Adelina Wong Ettelson, Diandra de Morrell Douglas,
Jana Bullock,  Sheila Rosenblum,
Jana Bullock,  Jill Zarin,
Jana Bullock,  Beth Stern,
Jana Bullock,  Trish Burke,
Jana Bullock,  Lucia Hwong Gordon,
 Sheila Rosenblum, Jana Bullock,
 Jill Zarin, Jana Bullock,
 Beth Stern, Jana Bullock,
 Beth Stern, Jill Zarin,
 Trish Burke, Jana Bullock,
 Trish Burke, Jill Zarin,
 Nick Ryan, Scott Moses,
 Nick Ryan, Leah Rumbough,
 Nick Ryan, Cole Rumbough,
Felicia Taylor,  Liliana Cavendish,
Felicia Taylor,  Somers Farkas,
Felicia Taylor,  Muffie Potter Aston,
 Melanie Wambold, President Bob Chaloner,
 Melanie Wambold, Lucia Hwong Gordon,
Bob Chaloner,  Audrey Gruss,
Bob Chaloner,  Chuck Scarborough,
Bob Chaloner,  Sandra McConnell,
Bob Chaloner,  Patty Kraus,
 Chuck Scarborough, Bob Chaloner,
 Nancy Stone, President Bob Chaloner,
Lauren Bush,  Sharon Bush,
Lauren Bush,  Tracy Stern,
 Tracy Stern, Lauren Bush,
 Tracy Stern, Sharon Bush,
 Anthony E. Mann, JBFCS President–Elect,
Christine Schott,  Sharon Bush,
Christine Schott,  Stephanie Lineva,
Christine Schott,  Somers Farkas,
Christine Schott,  Felicia Taylor,
 Stephanie Lineva, Christine Schott,
 Stephanie Lineva, Whitney Schott,
 Stephanie Lineva, Nan Potter,
 Stephanie Lineva, Allegra Rumbough,
 Stephanie Lineva, Leah Rumbough,
Whitney Schott,  Christine Schott,
Whitney Schott,  Stephanie Lineva,
 Christine Schott, Whitney Schott,
 Christine Schott, Nan Potter,
 Christine Schott, Jamie Figg,
 Christine Schott, Allegra Rumbough,
 Christine Schott, Leah Rumbough,
 Chiu-Ti Jansen, Lucia Hwong Gordon,
 Chiu-Ti Jansen, Patricia Shiah,
President Bob Chaloner,  Nancy Stone,
President Bob Chaloner,  Melanie Wambold,
 Ana Oliveira, Sarah Jones,
 Ana Oliveira, Kwanza Butler,
 Ana Oliveira, Ginny Day,
Mario Buatta,  Amy Fine Collins,
Mario Buatta,  Hilary Geary Ross,
Mario Buatta,  Roger Webster,
Mario Buatta,  Audrey Gruss,
Mario Buatta,  Lucia Hwong Gordon,
 Amy Fine Collins, Mario Buatta,
 Amy Fine Collins, Somers Farkas,
 Amy Fine Collins, Eleanora Kennedy,
 Amy Fine Collins, Diana Taylor,
 Amy Fine Collins, Dayssi Olarte de Kanavos,
 Amy Fine Collins, Liliana Cavendish,
 Hilary Geary Ross, Mario Buatta,
 Hilary Geary Ross, Alexandra Lebenthal,
Liliana  Cavendish,  Alina Cho,
Liliana  Cavendish,  Muffie Potter Aston,
Liliana  Cavendish,  Diandra de Morrell Douglas,
Liliana  Cavendish,  Somers Farkas,
Liliana  Cavendish,  Alexandra Lebenthal,
Liliana  Cavendish,  Adelina Wong Ettelson,
Liliana  Cavendish,  Chele Chiavacci,
Dina Merrill Hartley,  Christine Andreas,
Dina Merrill Hartley,  Cole Rumbough,
Maria Orengo,  Lloyd Brown,
Maria Orengo,  Derek Steinhauser,
Maria Orengo,  Stanley Rumbough,
Maria Orengo,  Maureen Klinsky,
Maria Orengo,  William Allen,
 Stanley Rumbough, Maria Orengo,
 Stanley Rumbough, Valentino Carlotti,
Joyce B. Cowin,  Joan Troubh,
Joyce B. Cowin,  Carol Davidson,
 Joan Troubh, Joyce B. Cowin,
 Carol Davidson, Joyce B. Cowin,
 Deborah Royce, Barbara Tober,
 Deborah Royce, Ann Van Ness,
 Deborah Royce, CeCe Black,
Martin Shafiroff,  Elizabeth Shafiroff,
Martin Shafiroff,  CeCe Black,
Martin Shafiroff,  Ann Van Ness,
Martin Shafiroff,  Bill Van Ness,
Martin Shafiroff,  Patricia Cossutta,
Martin Shafiroff,  Rochelle Ohrstrom,
Martin Shafiroff,  Yaz Hernandez,
Martin Shafiroff,  Valentin Hernandez,
 Elizabeth Shafiroff, Martin Shafiroff,
 Elizabeth Shafiroff, Sonja Morgan,
 Elizabeth Shafiroff, Lindsey Spielfogel,
 CeCe Black, Martin Shafiroff,
 CeCe Black, Barbara Regna,
 Ann Van Ness, Martin Shafiroff,
 Ann Van Ness, Bill Van Ness,
 Ann Van Ness, CeCe Black,
 Bill Van Ness, Martin Shafiroff,
 Bill Van Ness, CeCe Black,
 Patricia Cossutta, Martin Shafiroff,
 Patricia Cossutta, Bill Van Ness,
 Patricia Cossutta, Ann Van Ness,
 Patricia Cossutta, CeCe Black,
 Patricia Cossutta, Patricia Shiah,
 Rochelle Ohrstrom, Martin Shafiroff,
 Rochelle Ohrstrom, Bill Van Ness,
 Rochelle Ohrstrom, Ann Van Ness,
 Rochelle Ohrstrom, CeCe Black,
 Rochelle Ohrstrom, Patricia Shiah,
 Valentin Hernandez, Martin Shafiroff,
 Valentin Hernandez, Sarah Wolfe,
Tamie Lightburn,  Sharon Bush,
Tamie Lightburn,  Cheri Kaufman,
 Cheri Kaufman, Tamie Lightburn,
 Cheri Kaufman, Barbara Regna,
 Cheri Kaufman, CeCe Black,
Somers Farkas,  Muffie Potter Aston,
Somers Farkas,  Judy Price,
Somers Farkas,  Amy Fine Collins,
Somers Farkas,  Adelina Wong Ettelson,
Somers Farkas,  Chele Chiavacci,
Somers Farkas,  Lucia Hwong Gordon,
Somers Farkas,  Barbara Tober,
Somers Farkas,  Frederick Anderson,
 Judy Price, Somers Farkas,
 Barbara Tober, Somers Farkas,
 Barbara Tober, Lucia Hwong Gordon,
 Barbara Tober, Katlean de Monchy,
 Barbara Tober, Sharon Bush,
Cheri Kaufman,  Sharon Bush,
Cheri Kaufman,  Janna Bullock,
 Katharina Otto-Bernstein, Lucia Hwong Gordon,
 Katharina Otto-Bernstein, Sharon Bush,
Yaz Hernandez,  Patricia Shiah,
Yaz Hernandez,  Sharon Bush,
Yaz Hernandez,  Audrey Gruss,
Yaz Hernandez,  Jieun Wax,
Yaz Hernandez,  Michael Kors,
Yaz Hernandez,  Chiu-ti Jansen,
Yaz Hernandez,  Lucia Hwong Gordon,
 Patricia Shiah, Yaz Hernandez,
 Patricia Shiah, Sharon Bush,
 Patricia Shiah, Michael Kors,
 Patricia Shiah, Cindy Rinfret,
 Patricia Shiah, Jieun Wax,
 Patricia Shiah, Ann Van Ness,
 Patricia Shiah, Elizabeth Stribling,
 Patricia Shiah, Penny Grant,
 Patricia Shiah, CeCe Black,
 Michael Kors, Yaz Hernandez,
 Michael Kors, Eleanora Kennedy,
 Michael Kors, Cindy Rinfret,
 Michael Kors, Jieun Wax,
 Chiu-ti Jansen, Yaz Hernandez,
 Chiu-ti Jansen, Lucia Hwong Gordon,
 Chiu-ti Jansen, Michael Kors,
Sonja Morgan,  Arnie Rosenshein,
Sonja Morgan,  Elizabeth Shafiroff,
Sonja Morgan,  Nancy Gehman,
 Arnie Rosenshein, Sonja Morgan,
 Nancy Gehman, Sonja Morgan,
 Pamela O'Connor, Scott Moses,
 Pamela O'Connor, Leah Rumbough,
 Pamela O'Connor, Cole Rumbough,
 Scott Moses, Leah Rumbough,
 Scott Moses, Cole Rumbough,
Lucia Hwong Gordon,  Janna Bullock,
Lucia Hwong Gordon,  Barbara Tober,
Lucia Hwong Gordon,  Felicia Taylor,
Lucia Hwong Gordon,  Katlean De Monchy,
Lucia Hwong Gordon,  Chiu-Ti Jansen,
Lucia Hwong Gordon,  Katharina Otto-Bernstein,
Lucia Hwong Gordon,  Liliana Cavendish,
Lucia Hwong Gordon,  Joyce Cowin,
Lucia Hwong Gordon,  Dawne Marie Grannum,
Lucia Hwong Gordon,  Lauren Day Roberts,
Lucia Hwong Gordon,  Chiu-ti Jansen,
Lucia Hwong Gordon,  Ike Ude,
Lucia Hwong Gordon,  Chau-Giang Thi Nguyen,
Lucia Hwong Gordon,  Vivek Mathe,
Lucia Hwong Gordon,  Kim White,
Lucia Hwong Gordon,  Melanie Wambold,
 Katlean De Monchy, Lucia Hwong Gordon,
 Katlean De Monchy, Rita Cosby,
 Joyce Cowin, Lucia Hwong Gordon,
 Ike Ude, Lucia Hwong Gordon,
 Chau-Giang Thi Nguyen, Lucia Hwong Gordon,
 Vivek Mathe, Lucia Hwong Gordon,
 Kim White, Lucia Hwong Gordon,
 Kim White, Chuck Scarborough,
Valentino Carlotti,  Nialah Jackson,
Valentino Carlotti,  Minhua Goa,
Valentino Carlotti,  Andy Caceres,
Valentino Carlotti,  Maria Orengo,
Valentino Carlotti,  Lloyd Brown,
Valentino Carlotti,  Derek Steinhauser,
Valentino Carlotti,  Stanley Rumbough,
Valentino Carlotti,  Maureen Klinsky,
Valentino Carlotti,  William Allen,
 Nialah Jackson, Valentino Carlotti,
 Minhua Goa, Valentino Carlotti,
 Andy Caceres, Valentino Carlotti,
 Andy Caceres, Minhua Goa,
 Maria Orengo, Valentino Carlotti,
 Maria Orengo, Minhua Goa,
Melanie Wambold,  Gary Lawrance,
Melanie Wambold,  Mario Buatta,
Melanie Wambold,  Sandra McConnell,
Katlean de Monchy,  Lucia Hwong Gordon,
Katlean de Monchy,  Barbara Tober,
Katlean de Monchy,  Diana L. Taylor,
 Diana L. Taylor, Katlean de Monchy,
 Diana L. Taylor, Sharon Bush,
 Diana L. Taylor, Barbara Tober,
Tracy Stern,  Katlean de Monchy,
Tracy Stern,  Lucia Hwong Gordon,
Amy Fine Collins,  Nicole Miller,
Amy Fine Collins,  Roy Kean,
 Nicole Miller, Amy Fine Collins,
 Roy Kean, Amy Fine Collins,
Dawne Marie Grannum,  Penny Grant,
Dawne Marie Grannum,  Joy Marks,
Dawne Marie Grannum,  Daniel Colon,
Dawne Marie Grannum,  Lauren Day Roberts,
Dawne Marie Grannum,  Miriam Weisbecker,
 Penny Grant, Dawne Marie Grannum,
 Penny Grant, Barbara Regna,
 Penny Grant, Chiu-Ti Jansen,
 Penny Grant, Liliana Cavendish,
 Penny Grant, Alison Minton,
 Daniel Colon, Dawne Marie Grannum,
 Daniel Colon, Alison Minton,
 Miriam Weisbecker, Dawne Marie Grannum,
Sarah Jones,  Ginny Day,
Sarah Jones,  Helen LaKelly Hunt,
Sarah Jones,  Ana Oliveira,
 Ginny Day, Sarah Jones,
 Ginny Day, Diana Taylor,
 Helen LaKelly Hunt, Sarah Jones,
 Helen LaKelly Hunt, Diana Taylor,
 Helen LaKelly Hunt, Ginny Day,
Victor de Souza,  Anne-Marie Belli,
Victor de Souza,  Dawne Marie Grannum,
Eleanora Kennedy,  Alexandra Lebenthal,
Eleanora Kennedy,  Yaz Hernandez,
Eleanora Kennedy,  Amy Fine Collins,
Eleanora Kennedy,  Michael Kors,
Eleanora Kennedy,  Jacqueline Togut,
 Jacqueline Togut, Eleanora Kennedy,
Minhua Goa,  Andy Caceres,
Minhua Goa,  Maria Orengo,
Lindsey Spielfogel,  Elizabeth Shafiroff,
Lindsey Spielfogel,  Betsy Spielfogel,
Lindsey Spielfogel,  Susan Allan,
 Betsy Spielfogel, Lindsey Spielfogel,
 Betsy Spielfogel, Elizabeth Shafiroff,
 Susan Allan, Lindsey Spielfogel,
 Susan Allan, Elizabeth Shafiroff,
 Jane Hanson, Jonathan McCann,
Sharon Bush,  Patricia Shiah,
Sharon Bush,  Janna Bullock,
Sharon Bush,  Cornelia Sharpe,
Sharon Bush,  Lucia Hwong Gordon,
Sharon Bush,  Katharina Otto-Bernstein,
Sharon Bush,  Liliana Cavendish,
Sharon Bush,  Jamie Figg,
Sharon Bush,  Katlean de Monchy,
Sharon Bush,  Felicia Taylor,
Sharon Bush,  Tracy Stern,
Sharon Bush,  Barbara Tober,
Sharon Bush,  Diana L. Taylor,
 Cornelia Sharpe, Sharon Bush,
 Jamie Figg, Sharon Bush,
Barbara Regna,  Alison Minton,
Barbara Regna,  Cheri Kaufman,
Barbara Regna,  Eleanora Kennedy,
Barbara Regna,  CeCe Black,
Barbara Regna,  Victor de Souza,
Barbara Regna,  Di Mondo,
Barbara Regna,  Penny Grant,
 Alison Minton, Barbara Regna,
 Alison Minton, Kamie Lightburn,
 Victor de Souza, Barbara Regna,
 Victor de Souza, Joy Marks,
 Victor de Souza, Penny Grant,
 Di Mondo, Barbara Regna,
 Di Mondo, Liliana Cavendish,
Meera Ghandi,  Bonnie Comley,
Meera Ghandi,  Stewart Lane,
 Bonnie Comley, Meera Ghandi,
 Bonnie Comley, Janna Bullock,
Sarah Wolfe,  Valentin Hernandez,
Sarah Wolfe,  Yaz Hernandez,
Adelina Wong Ettelson,  Alina Cho,
Adelina Wong Ettelson,  Alexandra Lebenthal,
Adelina Wong Ettelson,  Chele Chiavacci,
Adelina Wong Ettelson,  Yaz Hernandez,
 Tomaczek Bednarek, Rita Cosby,
Nan Potter,  Antonia DiPaolo,
Nan Potter,  Leah Rumbough,
Nan Potter,  Allegra Rumbough,
Nan Potter,  Whitney Schott,
Nan Potter,  Christine Schott,
Nan Potter,  Stephanie Lineva,
 Antonia DiPaolo, Nan Potter,
 Allegra Rumbough, Nan Potter,
 Allegra Rumbough, Leah Rumbough,
 Whitney Schott, Nan Potter,
 Whitney Schott, Allegra Rumbough,
 Whitney Schott, Leah Rumbough,
Jonathan McCann,  Sandra McConnell,
Jonathan McCann,  Jane Hanson,
Jamie Figg,  Felicia Taylor,
Jamie Figg,  Eleanora Kennedy,
Jamie Figg,  Christine Schott,
Diana Taylor,  Lucia Hwong Gordon,
Diana Taylor,  Janna Bullock,
Diana Taylor,  Amy Fine Collins,
Diana Taylor,  Connie Fishman,
Diana Taylor,  Yaz Hernandez,
Diana Taylor,  Hyatt Bass,
Diana Taylor,  Sarah Jones,
Diana Taylor,  Ginny Day,
Diana Taylor,  Helen LaKelly Hunt,
Diana Taylor,  Alexandra Lebenthal,
 Connie Fishman, Diana Taylor,
 Hyatt Bass, Diana Taylor,
 Sarah Jones, Diana Taylor,
 Elizabeth Stribling, Ann Van Ness,
 Elizabeth Stribling, Kamie Lightburn,
 Elizabeth Stribling, CeCe Black,
Elizabeth Shafiroff,  Betsy Spielfogel,
Elizabeth Shafiroff,  Susan Allan,
Bill Van Ness,  Ann Van Ness,
Bill Van Ness,  Patricia Cossutta,
Bill Van Ness,  Rochelle Ohrstrom,
Kathryn Chenault,  Star Jones,
Kathryn Chenault,  Alicia Bythewood,
Kathryn Chenault,  Cole Rumbough,
 Star Jones, Kathryn Chenault,
Michael Kors,  Kamie Lightburn,
Michael Kors,  Alexandra Lebenthal,
Michael Kors,  Chiu-ti Jansen,
Michael Kors,  Shelly Lynch,
Michael Kors,  Patricia Shiah,
 Kamie Lightburn, Michael Kors,
 Kamie Lightburn, Chiu-ti Jansen,
 Shelly Lynch, Michael Kors,
 Shelly Lynch, Cindy Rinfret,
 Shelly Lynch, Jieun Wax,
 Hartley duPont, Jigar Shah,
Chiu-Ti Jansen,  Geoffrey Bradfield,
Chiu-Ti Jansen,  Chele Chiavacci,
Chiu-Ti Jansen,  Liliana Cavendish,
Chiu-Ti Jansen,  Lucia Hwong-Gordon,
Chiu-Ti Jansen,  Barbara Regna,
Chiu-Ti Jansen,  Penny Grant,
 Geoffrey Bradfield, Chiu-Ti Jansen,
 Barbara Regna, Chiu-Ti Jansen,
 Barbara Regna, Liliana Cavendish,
Rita Cosby,  Katlean De Monchy,
Rita Cosby,  Tomaczek Bednarek,
Rita Cosby,  Kathy Reilly,
 Kathy Reilly, Rita Cosby,
Dayssi Olarte de Kanavos,  Frederick Anderson,
Dayssi Olarte de Kanavos,  Amy Fine Collins,
Dayssi Olarte de Kanavos,  Alina Cho,
 Kazie Harvey, Ann Van Ness,
 Kazie Harvey, CeCe Black,
Barbara Tober,  Deborah Royce,
Barbara Tober,  Diana L. Taylor,
Diandra de Morrell Douglas,  Somers Farkas,
Diandra de Morrell Douglas,  Alexandra Lebenthal,
Diandra de Morrell Douglas,  Adelina Wong Ettelson,
Diandra de Morrell Douglas,  Chele Chiavacci,
Elizabeth Scribling,  Marilyn Friedland,
Elizabeth Scribling,  Muffie Potter Aston,
 Marilyn Friedland, Elizabeth Scribling,
Cindy Rinfret,  Jieun Wax,
Cindy Rinfret,  Shelly Lynch,
Cindy Rinfret,  Michael Kors,
Cindy Rinfret,  Patricia Shiah,
Jill Zarin,  Beth Stern,
Jill Zarin,  Trish Burke,
Jane Pontarelli,  Wendy Federman,
Jane Pontarelli,  Nicole DiCocco,
 Nicole DiCocco, Jane Pontarelli,
Chiu-ti Jansen,  Jieun Wax,
Chiu-ti Jansen,  Kamie Lightburn,
Chiu-ti Jansen,  Eleanora Kennedy,
Jieun Wax,  Michael Kors,
Jieun Wax,  Eleanora Kennedy,
Jieun Wax,  Shelly Lynch,
Jieun Wax,  Patricia Shiah,
Liliana Cavendish,  Janna Bullock,
Liliana Cavendish,  Di Mondo,
Liliana Cavendish,  Amy Fine Collins,
Liliana Cavendish,  Barbara Regna,
Liliana Cavendish,  Penny Grant,
Liliana Cavendish,  Alina Cho,
Janna Bullock,  Muffie Potter Aston,
Janna Bullock,  Roger Webster,
Janna Bullock,  Somers Farkas,
Janna Bullock,  Bonnie Comley,
Janna Bullock,  Katlean de Monchy,
Chuck Scarborough,  Audrey Gruss,
Chuck Scarborough,  Kim White,
Alison Minton,  Dawne Marie Grannum,
Alison Minton,  Daniel Colon,
Alison Minton,  Penny Grant,
Ann Van Ness,  Kazie Harvey,
Ann Van Ness,  Deborah Royce,
Ann Van Ness,  Elizabeth Stribling,
Ann Van Ness,  Patricia Shiah,
Ann Van Ness,  Patricia Cossutta,
Ann Van Ness,  Rochelle Ohrstrom,
Allegra Rumbough,  Dina Merrill Hartley,
Allegra Rumbough,  Whitney Schott,
